id,team,season,games_played,wins,losses,ties,ots,points,regular_ot_wins,point_percent,goals_for,goals_allowed,shootout_win,goals_for_per_game,goals_allowed_per_game,pp_percent,pk_percent,shots_per_game,shots_allowed_per_game,faceoff_win_percent
1,Florida Pathers,2018-19,82,36,32,0,14,86,33,0.524,264,273,3,3.22,3.33,26.8,81.3,33,30.7,49.8
2,Vancouver Canucks,2018-19,82,35,36,0,11,81,29,0.494,219,248,6,2.67,3.02,17.1,81.1,29.7,31.7,49.5
3,Detroit Red Wings,2018-19,82,32,40,0,10,74,29,0.451,224,272,3,2.73,3.32,18.1,77.1,29.2,33.7,50.8
4,Colorado Avalanche,2018-19,82,38,30,0,14,90,36,0.549,258,244,2,3.15,2.98,22,78.7,32.6,31.9,48.1
5,Montréal Canadiens,2018-19,82,44,30,0,8,96,41,0.585,246,236,3,3,2.88,13.2,80.9,34.1,31.1,49.4
6,Columbus Blue Jackets,2018-19,82,47,31,0,4,98,45,0.598,256,231,2,3.12,2.82,15.4,85,31.6,29.5,50.2
7,Winnipeg Jets,2018-19,82,47,30,0,5,99,45,0.604,270,243,2,3.29,2.96,24.8,79.2,31.2,33.4,50.7
8,Boston Bruins,2018-19,82,49,24,0,9,107,47,0.652,257,212,2,3.13,2.59,25.9,79.9,32.7,29.5,50.7
9,San Jose Sharks,2018-19,82,46,27,0,9,101,46,0.616,289,258,0,3.52,3.15,23.6,80.8,33,28.3,50.3
10,Buffalo Sabres,2018-19,82,33,39,0,10,76,28,0.463,221,268,5,2.7,3.27,19.5,80.9,32.9,33,47.9
11,Philadelphia Flyers,2018-19,82,37,37,0,8,82,34,0.5,241,280,3,2.94,3.41,17.1,78.5,31.5,32.5,54.7
12,St. Louis Blues,2018-19,82,45,28,0,9,99,42,0.604,244,220,3,2.98,2.68,21.1,81.5,31.8,28.6,51.4
13,Pittsburgh Penguins,2018-19,82,44,26,0,12,100,42,0.61,271,238,2,3.3,2.9,24.6,79.7,33.3,33.3,50.6
14,Dallas Stars,2018-19,82,43,32,0,7,93,42,0.567,209,200,1,2.55,2.44,21,82.8,30.7,31.6,51.9
15,Vegas Golden Knights,2018-19,82,43,32,0,7,93,40,0.567,246,228,3,3,2.78,16.8,80.9,34.3,29.3,50.4
16,Chicago Blackhawks,2018-19,82,36,34,0,12,84,33,0.512,267,291,3,3.26,3.55,20.2,72.7,32.5,34.8,49.5
17,Los Angeles Kings,2018-19,82,31,42,0,9,71,28,0.433,199,259,3,2.43,3.16,15.8,76.5,28.8,31.4,50.5
18,New York Islanders,2018-19,82,48,27,0,7,103,43,0.628,223,191,5,2.72,2.33,14.5,79.9,28.8,30.9,47.4
19,Anaheim Ducks,2018-19,82,35,37,0,10,80,32,0.488,196,248,3,2.39,3.02,17,79.7,27.7,33.2,51.3
